age, job , marital , education , default , balance , housing , loan , contact , day , month , duration , campaign , pdays , previous , poutcome , y 
34, technician , married , secondary , no ,351, yes , no , cellular ,18, jul ,467,1,-1,0, unknown , no 
30, services , single , secondary , no ,290, yes , no , unknown ,12, may ,446,1,-1,0, unknown , no 
56, technician , single , tertiary , no ,12539, no , no , cellular ,18, nov ,259,1,-1,0, unknown , no 
44, blue-collar , divorced , secondary , no ,1781, yes , no , cellular ,29, jul ,48,3,-1,0, unknown , no 
38, self-employed , married , tertiary , no ,1029, no , no , cellular ,29, aug ,42,2,-1,0, unknown , no 
32, technician , married , secondary , no ,348, yes , no , cellular ,17, jul ,926,1,-1,0, unknown , yes 
35, technician , married , secondary , no ,19, yes , no , unknown ,9, may ,130,2,-1,0, unknown , no 
58, housemaid , married , secondary , no ,196, no , yes , cellular ,27, may ,110,3,-1,0, unknown , no 
34, technician , single , secondary , no ,2729, yes , no , cellular ,18, nov ,835,1,-1,0, unknown , yes 
36, blue-collar , married , secondary , no ,-185, yes , no , cellular ,12, may ,167,2,350,2, failure , no 
38, admin. , single , secondary , no ,439, no , no , unknown ,16, jun ,359,4,-1,0, unknown , no 
28, blue-collar , single , secondary , no ,387, yes , no , cellular ,13, mar ,61,11,282,1, other , no 
60, retired , married , primary , no ,0, no , no , unknown ,18, jun ,104,1,-1,0, unknown , no 
29, admin. , married , tertiary , no ,111, no , no , cellular ,14, may ,208,1,-1,0, unknown , no 
33, student , single , tertiary , no ,3404, yes , no , unknown ,2, jun ,312,3,-1,0, unknown , no 
50, technician , divorced , secondary , no ,75, yes , no , cellular ,6, aug ,101,1,-1,0, unknown , no 
31, technician , divorced , tertiary , no ,0, no , no , cellular ,22, aug ,127,2,-1,0, unknown , no 
34, technician , divorced , secondary , no ,136, yes , no , cellular ,8, may ,136,2,-1,0, unknown , no 
29, blue-collar , married , primary , no ,111, yes , no , cellular ,6, may ,14,11,-1,0, unknown , no 
47, blue-collar , divorced , primary , yes ,0, yes , no , cellular ,28, jul ,327,3,-1,0, unknown , no 
31, technician , single , tertiary , no ,387, no , no , cellular ,4, aug ,149,1,-1,0, unknown , no 
36, technician , married , secondary , no ,0, no , no , cellular ,25, aug ,248,2,-1,0, unknown , no 
54, technician , married , secondary , no ,0, no , no , cellular ,6, nov ,464,5,192,8, other , yes 
28, management , single , tertiary , no ,682, yes , no , cellular ,7, may ,79,1,-1,0, unknown , no 
25, services , single , secondary , no ,594, no , no , cellular ,4, jun ,89,2,-1,0, unknown , yes 
38, admin. , married , secondary , no ,4196, yes , no , cellular ,12, may ,193,2,-1,0, unknown , no 
33, blue-collar , married , secondary , no ,2279, yes , no , telephone ,12, may ,123,3,-1,0, unknown , no 
42, services , divorced , secondary , no ,167, no , no , unknown ,16, jun ,119,1,-1,0, unknown , no 
32, management , single , tertiary , no ,623, no , no , telephone ,24, dec ,273,1,203,1, failure , no 
49, technician , married , primary , no ,486, no , no , telephone ,7, jul ,229,5,-1,0, unknown , no 
44, blue-collar , divorced , unknown , no ,532, no , no , unknown ,16, may ,141,2,-1,0, unknown , no 
20, student , single , unknown , no ,479, no , no , cellular ,11, sep ,158,2,-1,0, unknown , no 
46, technician , married , secondary , no ,250, no , no , cellular ,6, aug ,84,2,-1,0, unknown , no 
26, blue-collar , single , secondary , no ,535, yes , yes , unknown ,28, may ,252,1,-1,0, unknown , no 
45, self-employed , married , tertiary , no ,-312, no , no , telephone ,18, nov ,46,4,-1,0, unknown , no 
38, management , married , tertiary , no ,2656, no , no , cellular ,8, jul ,230,2,-1,0, unknown , no 
56, management , married , tertiary , no ,480, yes , no , telephone ,2, apr ,173,2,-1,0, unknown , no 
41, blue-collar , married , secondary , no ,427, yes , yes , cellular ,14, may ,177,2,-1,0, unknown , no 
32, blue-collar , single , secondary , no ,217, yes , no , cellular ,15, may ,692,3,-1,0, unknown , yes 
32, services , married , secondary , no ,3360, yes , yes , cellular ,7, aug ,365,5,-1,0, unknown , no 
20, student , married , unknown , no ,292, no , no , cellular ,5, aug ,385,2,93,1, failure , yes 
27, management , single , tertiary , no ,317, no , no , cellular ,9, feb ,59,3,-1,0, unknown , no 
50, blue-collar , married , primary , no ,-141, yes , no , unknown ,20, jun ,61,2,-1,0, unknown , no 
29, entrepreneur , married , secondary , no ,452, yes , no , unknown ,27, may ,347,1,-1,0, unknown , no 
32, admin. , single , tertiary , no ,89, no , no , telephone ,28, jan ,435,1,-1,0, unknown , no 
41, management , single , tertiary , no ,3947, no , no , telephone ,29, jul ,63,2,-1,0, unknown , no 
40, blue-collar , divorced , unknown , no ,528, yes , no , cellular ,13, may ,340,2,357,5, failure , no 
51, blue-collar , married , primary , no ,230, yes , no , unknown ,6, may ,673,1,-1,0, unknown , no 
31, blue-collar , married , secondary , no ,1039, yes , no , unknown ,28, may ,44,7,-1,0, unknown , no 
32, entrepreneur , married , tertiary , no ,28, no , no , cellular ,5, aug ,287,1,-1,0, unknown , no 
42, technician , married , tertiary , no ,1493, yes , yes , cellular ,13, aug ,78,1,-1,0, unknown , no 
36, technician , divorced , secondary , no ,253, yes , no , cellular ,17, apr ,54,1,-1,0, unknown , no 
34, blue-collar , married , secondary , no ,634, no , yes , cellular ,12, may ,737,3,-1,0, unknown , yes 
38, technician , single , secondary , no ,614, yes , no , unknown ,20, may ,116,1,-1,0, unknown , no 
51, admin. , married , tertiary , no ,1463, yes , no , telephone ,23, jul ,185,1,-1,0, unknown , no 
48, technician , married , secondary , no ,0, no , no , cellular ,19, aug ,215,2,-1,0, unknown , no 
53, blue-collar , married , secondary , no ,6112, no , no , cellular ,30, apr ,211,1,86,1, success , no 
41, unemployed , married , primary , no ,2636, no , no , unknown ,19, jun ,318,1,-1,0, unknown , no 
31, management , single , tertiary , no ,5691, yes , no , cellular ,21, jul ,357,1,-1,0, unknown , no 
29, technician , married , tertiary , no ,676, no , no , cellular ,28, jul ,470,4,-1,0, unknown , no 
33, management , married , tertiary , no ,4149, no , yes , cellular ,18, jul ,159,2,-1,0, unknown , no 
33, management , married , tertiary , no ,296, no , no , cellular ,16, jul ,90,2,-1,0, unknown , no 
32, technician , married , secondary , no ,696, yes , no , unknown ,2, jun ,815,1,-1,0, unknown , yes 
46, blue-collar , divorced , primary , no ,452, yes , no , unknown ,9, may ,113,4,-1,0, unknown , no 
44, blue-collar , married , primary , no ,887, yes , no , cellular ,12, may ,165,2,363,1, failure , no 
54, blue-collar , married , primary , no ,162, yes , no , cellular ,6, may ,184,1,-1,0, unknown , no 
57, admin. , married , primary , no ,1694, yes , no , telephone ,17, nov ,378,1,-1,0, unknown , no 
32, management , single , tertiary , no ,3, yes , no , cellular ,13, may ,568,1,-1,0, unknown , yes 
39, management , single , tertiary , no ,1340, yes , no , cellular ,20, apr ,287,3,-1,0, unknown , no 
49, entrepreneur , divorced , tertiary , no ,315, no , no , cellular ,11, sep ,240,1,-1,0, unknown , no 
51, admin. , divorced , secondary , no ,2717, no , no , unknown ,9, jun ,559,2,-1,0, unknown , no 
35, technician , divorced , secondary , no ,0, no , no , cellular ,24, jul ,262,2,-1,0, unknown , no 
53, housemaid , married , primary , no ,104, no , yes , unknown ,5, jun ,701,1,-1,0, unknown , yes 
56, management , married , tertiary , no ,665, no , no , cellular ,29, aug ,25,12,-1,0, unknown , no 
31, technician , single , secondary , yes ,25, no , no , cellular ,2, feb ,381,1,-1,0, unknown , no 
37, management , married , tertiary , no ,4174, no , no , cellular ,22, apr ,183,5,-1,0, unknown , no 
54, technician , divorced , secondary , no ,136, no , yes , cellular ,10, jul ,151,4,-1,0, unknown , no 
38, admin. , married , secondary , no ,338, no , yes , cellular ,8, jul ,191,1,-1,0, unknown , no 
45, technician , married , tertiary , no ,1780, no , no , unknown ,9, jun ,464,1,-1,0, unknown , no 
80, retired , married , secondary , no ,668, no , no , telephone ,8, jul ,250,1,371,1, success , yes 
51, services , single , secondary , no ,516, yes , no , cellular ,13, may ,370,1,363,1, failure , no 
32, services , married , secondary , no ,1167, yes , yes , telephone ,16, apr ,668,3,147,1, failure , no 
32, management , single , tertiary , no ,935, no , no , cellular ,9, nov ,165,1,91,7, success , yes 
57, retired , married , unknown , no ,316, yes , no , unknown ,3, jun ,72,8,-1,0, unknown , no 
72, retired , single , tertiary , no ,1285, no , no , telephone ,1, feb ,280,2,91,7, failure , no 
28, unemployed , single , tertiary , no ,497, yes , no , cellular ,24, jul ,1602,6,-1,0, unknown , yes 
38, blue-collar , single , secondary , no ,-329, yes , no , unknown ,12, may ,86,4,-1,0, unknown , no 
49, housemaid , married , secondary , no ,211, no , no , cellular ,22, aug ,220,2,-1,0, unknown , no 
41, technician , divorced , secondary , no ,611, yes , no , cellular ,28, jul ,157,5,-1,0, unknown , no 
35, technician , divorced , secondary , no ,82, no , no , cellular ,19, aug ,152,3,-1,0, unknown , no 
37, management , single , unknown , no ,146, yes , no , unknown ,20, jun ,16,8,-1,0, unknown , no 
50, technician , married , tertiary , no ,133, no , no , cellular ,4, aug ,155,1,-1,0, unknown , no 
30, self-employed , single , tertiary , no ,253, yes , no , cellular ,28, jul ,283,4,-1,0, unknown , no 
46, self-employed , married , secondary , no ,942, no , no , cellular ,11, aug ,53,4,-1,0, unknown , no 
26, admin. , single , tertiary , no ,760, yes , no , cellular ,4, mar ,456,2,281,5, success , yes 
34, services , married , secondary , no ,2021, yes , yes , cellular ,17, apr ,51,6,148,8, other , no 
46, admin. , married , unknown , no ,0, yes , no , cellular ,25, jul ,49,1,-1,0, unknown , no 
31, blue-collar , single , tertiary , no ,761, no , no , telephone ,18, nov ,514,2,-1,0, unknown , yes 
37, unemployed , single , secondary , no ,687, no , no , telephone ,4, feb ,271,3,-1,0, unknown , no 
35, blue-collar , married , primary , no ,356, yes , yes , unknown ,20, may ,474,2,-1,0, unknown , no 
52, services , divorced , secondary , no ,289, yes , yes , telephone ,6, feb ,102,5,-1,0, unknown , no 
32, admin. , married , secondary , no ,1539, yes , yes , cellular ,23, jul ,218,2,-1,0, unknown , no 
46, technician , married , tertiary , no ,-369, yes , yes , cellular ,6, feb ,339,4,-1,0, unknown , no 
37, housemaid , single , secondary , no ,1358, no , no , telephone ,28, jan ,119,1,-1,0, unknown , no 
32, services , single , secondary , no ,6857, no , no , cellular ,2, feb ,216,1,-1,0, unknown , no 
55, services , divorced , secondary , yes ,1, yes , no , unknown ,5, may ,208,1,-1,0, unknown , no 
33, services , married , secondary , no ,-27, yes , no , cellular ,18, jul ,216,2,-1,0, unknown , no 
62, technician , married , unknown , no ,635, no , no , cellular ,22, apr ,292,4,247,1, other , no 
43, management , divorced , tertiary , no ,1819, no , yes , cellular ,14, aug ,41,2,-1,0, unknown , no 
42, admin. , divorced , secondary , no ,-106, yes , no , cellular ,15, may ,495,1,347,3, failure , no 
53, entrepreneur , married , tertiary , no ,1129, no , yes , cellular ,28, jul ,241,8,-1,0, unknown , no 
43, blue-collar , married , primary , no ,601, yes , no , cellular ,16, apr ,792,2,-1,0, unknown , no 
36, management , single , secondary , no ,532, yes , no , cellular ,6, may ,50,1,-1,0, unknown , no 
30, management , single , tertiary , no ,370, no , no , cellular ,22, aug ,64,2,-1,0, unknown , no 
30, services , single , tertiary , no ,108, yes , no , unknown ,26, may ,282,8,-1,0, unknown , no 
